year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2015,2710.04315,2,1,1,4,8,4,2,1,3,2,2,1,2,0,1,4,2,0,0,2,1
2015,2735.969,2,1,2,1,7,2,3,1,1,2,6,2,2,0,2,5,3,0,0,2,3
2015,4233.81591,2,3,2,3,5,1,1,4,3,1,4,1,2,0,1,4,2,0,0,2,2
2015,3195.74234,2,1,2,1,5,1,1,1,4,1,3,2,2,0,1,4,2,0,0,2,1
2015,3195.74234,2,1,2,1,5,1,1,1,4,1,3,1,2,0,1,4,2,0,0,2,1
2015,3195.74234,2,1,2,1,5,1,1,1,4,1,4,1,2,0,1,1,1,1,1,2,5
2015,3195.74234,2,1,2,1,5,1,1,1,4,1,6,3,2,0,1,4,2,0,0,,1
2015,3857.70806,2,3,2,3,7,4,1,1,4,1,4,2,2,0,1,1,1,1,1,1,3
2015,4963.61501,2,3,1,4,1,1,3,2,3,1,3,2,2,0,1,4,2,1,2,1,4
2015,49636.1501,2,3,1,4,1,1,3,2,3,1,3,2,2,0,1,4,2,0,0,1,4
2015,3432.80399,2,1,2,1,6,3,3,1,1,2,3,1,2,0,1,4,2,1,1,2,1
2015,3040.40814,2,1,2,1,7,2,7,1,3,2,5,1,2,0,1,4,2,0,0,2,5
2015,3089.70369,2,1,2,1,7,4,4,1,3,2,4,1,1,1,1,3,1,0,0,2,1
2015,3443.85165,2,1,2,1,6,1,88,1,4,1,3,2,2,0,1,4,2,0,0,2,5
2015,4245.71203,1,3,2,3,2,1,88,1,3,3,2,2,2,0,1,4,2,1,1,2,1
2015,2869.64917,1,1,1,4,6,2,5,1,3,1,4,1,3,5,1,4,2,0,0,2,1
2015,3298.85173,2,1,2,1,7,2,88,0,1,2,5,1,2,0,1,4,2,0,0,2,3
2015,4004.08695,2,3,2,3,4,2,3,1,3,2,2,2,1,2,1,3,1,1,1,2,2
2015,3396.49603,2,1,1,4,5,4,88,1,3,3,3,1,1,2,1,3,1,1,2,2,3
2015,3205.76903,2,1,1,4,6,2,6,5,3,1,4,2,2,0,1,2,1,0,0,2,3
2015,2283.22795,2,2,2,2,7,4,2,5,1,1,3,1,1,2,1,3,1,1,2,2,3
2015,3341.65797,2,1,2,1,6,4,3,1,3,2,1,2,2,0,1,4,2,0,0,2,2
2015,3341.65797,2,1,2,1,6,4,3,1,3,2,1,2,2,0,1,1,1,1,1,2,1
2015,3576.55799,1,3,2,3,3,1,4,1,3,1,4,2,1,1,1,3,1,0,0,2,3
2015,3601.27028,1,1,1,4,3,1,3,1,3,2,3,1,2,0,1,4,2,0,0,2,1
2015,4360.63255,2,3,2,3,4,2,5,0,3,3,4,1,3,5,1,4,2,0,0,1,1
2015,3125.32314,2,1,2,1,6,1,5,5,4,1,4,2,2,0,1,4,2,0,0,2,3
2015,3017.8051,2,1,2,1,7,5,1,1,4,3,4,2,2,0,1,1,1,1,2,2,1
2015,3017.8051,2,1,2,1,7,5,1,1,4,3,3,2,2,0,1,4,2,1,2,2,2
2015,2774.96328,1,1,2,1,7,2,6,1,2,1,3,2,1,1,1,3,1,0,0,2,1
2015,2806.2321,2,1,2,1,7,2,6,1,2,1,3,2,2,0,1,4,2,0,0,2,1
2015,3087.22717,1,1,2,1,7,1,6,0,3,2,3,1,1,1,1,3,1,0,0,2,1
2015,3340.94467,1,1,2,1,6,2,7,1,2,2,4,1,2,0,1,4,2,0,0,2,1
2015,4291.98071,1,3,2,3,5,1,4,4,1,1,6,2,2,0,1,4,2,0,0,2,3
2015,4291.98071,1,3,2,3,5,1,4,4,1,1,4,2,2,0,1,4,2,0,0,2,3
2015,4291.98071,1,3,2,3,5,1,4,4,1,1,4,2,2,0,1,4,2,0,0,2,3
2015,4647.4357,1,1,2,1,1,1,5,1,2,1,3,2,1,2,1,3,1,0,0,2,4
2015,10200.46945,1,2,2,2,1,1,5,1,3,3,4,2,2,0,1,4,2,0,0,2,3
2015,2845.40354,2,1,2,1,6,2,7,2,4,1,4,1,1,3,1,3,1,0,0,2,1
2015,2845.40354,2,1,2,1,6,2,7,2,4,1,4,1,2,0,1,4,2,0,0,2,1
2015,2845.40354,2,1,2,1,6,2,7,2,4,1,4,1,2,0,1,4,2,0,0,2,1
2015,3237.46491,2,1,2,1,5,1,88,1,4,1,1,1,1,3,1,3,1,1,2,1,1
2015,6463.59458,2,2,1,4,1,1,88,1,3,1,4,1,2,0,1,3,1,1,2,2,3
2015,2876.16666,2,3,2,3,7,2,88,1,4,2,1,2,2,0,1,1,1,1,2,1,1
2015,3028.1261,2,1,2,1,6,1,6,3,4,1,4,1,2,0,1,1,1,0,0,2,3
2015,5264.11152,2,1,2,1,2,1,7,1,4,2,4,2,2,0,1,4,2,0,0,2,4
2015,2642.66527,1,1,1,4,7,2,88,1,4,3,3,1,1,3,1,3,1,0,0,2,1
2015,2642.66527,1,1,1,4,7,2,88,1,4,3,3,2,1,3,1,3,1,0,0,2,1
2015,2642.66527,1,1,1,4,7,2,88,1,4,3,3,1,1,3,1,3,1,0,0,2,1
2015,2642.66527,1,1,1,4,7,2,88,1,4,3,3,2,1,2,1,3,1,0,0,2,1
2015,2808.86855,1,2,2,2,7,4,5,3,4,1,4,2,2,0,1,4,2,1,1,2,3
2015,3265.84328,2,1,1,4,6,2,6,1,3,2,5,1,2,0,1,4,2,0,0,2,3
